Title,Duration (mins),Content Rating,Genre,Rating,Vote Count,URL
Jaws,124,PG,"Adventure, Drama, Thriller",8.1,679646,https://www.imdb.com/title/tt0073195/
Last Action Hero,130,PG-13,"Action, Adventure, Comedy",6.5,166886,https://www.imdb.com/title/tt0107362/
Taxi Driver,114,R,"Crime, Drama",8.2,951043,https://www.imdb.com/title/tt0075314/
Memento,113,R,"Mystery, Thriller",8.4,1350678,https://www.imdb.com/title/tt0209144/
Raiders of the Lost Ark,115,PG,"Action, Adventure",8.4,1055095,https://www.imdb.com/title/tt0082971/
Crash,112,R,"Crime, Drama, Thriller",7.7,452287,https://www.imdb.com/title/tt0375679/
John Wick: Chapter 3 - Parabellum,130,R,"Action, Crime, Thriller",7.4,440194,https://www.imdb.com/title/tt6146586/
Green Book,130,PG-13,"Biography, Comedy, Drama",8.2,605066,https://www.imdb.com/title/tt6966692/
Mad Max: Fury Road,120,R,"Action, Adventure, Sci-Fi",8.1,1138564,https://www.imdb.com/title/tt1392190/
Serbuan maut 2: Berandal,150,R,"Action, Crime, Thriller",7.9,133571,https://www.imdb.com/title/tt2265171/
Her,126,R,"Drama, Romance, Sci-Fi",8.0,687407,https://www.imdb.com/title/tt1798709/
The Wolf of Wall Street,180,R,"Biography, Comedy, Crime",8.2,1635193,https://www.imdb.com/title/tt0993846/
Drive,100,R,"Action, Drama",7.8,721414,https://www.imdb.com/title/tt0780504/
El secreto de sus ojos,129,R,"Drama, Mystery, Romance",8.2,227209,https://www.imdb.com/title/tt1305806/
The Departed,151,R,"Crime, Drama, Thriller",8.5,1454520,https://www.imdb.com/title/tt0407887/
V for Vendetta,132,R,"Action, Drama, Sci-Fi",8.1,1198024,https://www.imdb.com/title/tt0434409/
Dogville,178,R,"Crime, Drama",8.0,161495,https://www.imdb.com/title/tt0276919/
Minority Report,145,PG-13,"Action, Crime, Mystery",7.6,594065,https://www.imdb.com/title/tt0181689/
Sen to Chihiro no kamikakushi,124,PG,"Animation, Adventure, Family",8.6,880389,https://www.imdb.com/title/tt0245429/
Fight Club,139,R,Drama,8.8,2397314,https://www.imdb.com/title/tt0137523/
Trainspotting,93,R,Drama,8.1,738321,https://www.imdb.com/title/tt0117951/
Casino,178,R,"Crime, Drama",8.2,577877,https://www.imdb.com/title/tt0112641/
Die Hard with a Vengeance,128,R,"Action, Adventure, Thriller",7.6,414203,https://www.imdb.com/title/tt0112864/
Ging chaat goo si,100,PG-13,"Action, Comedy, Crime",7.5,43329,https://www.imdb.com/title/tt0089374/
The Godfather Part II,202,R,"Crime, Drama",9.0,1396788,https://www.imdb.com/title/tt0071562/
Persona,83,Not Rated,"Drama, Thriller",8.0,133641,https://www.imdb.com/title/tt0060827/
Andrey Rublyov,189,R,"Biography, Drama, History",8.0,58032,https://www.imdb.com/title/tt0060107/
Spartacus,197,PG-13,"Adventure, Biography, Drama",7.9,145822,https://www.imdb.com/title/tt0054331/
Le trou,131,Not Rated,"Crime, Drama, Thriller",8.5,21152,https://www.imdb.com/title/tt0054407/
Det sjunde inseglet,96,Not Rated,"Drama, Fantasy",8.1,203151,https://www.imdb.com/title/tt0050976/
